name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,search_query,scraped_at,coordinate_source,precision_score
Sellie Coffee Malioboro,,0.0,0,Rp 25–50 rb,-7.7939257,110.3654873,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 23.30,cafe  malioboro,2025-08-28T11:23:19.665301,extract_from_url,0.9
Loko Cafe - Malioboro,"Kafe · Komp. Ps. Kembang, Jl. Ps. Kembang",0.0,0,Rp 25–50 rb,-7.7897901,110.3657681,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  malioboro,2025-08-28T11:23:19.669111,extract_from_url,0.9
Karta Coffee & Eatery,"Kafe · Karta Coffee & Eatery, Jl. Malioboro. 52-58, Suryatmajan, Danurejan Plaza Malioboro, Lt. 1 Unit 13-16",0.0,0,Rp 25–50 rb,-7.7936271,110.3658864,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  malioboro,2025-08-28T11:23:19.669281,extract_from_url,0.9
Azen Coffee Malioboro,Kedai Kopi · Jl. Suryatmajan No.39,0.0,0,Rp 25–50 rb,-7.7964764,110.3678926,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  malioboro,2025-08-28T11:23:19.823495,extract_from_url,0.9
Kala Jumpa Bar & Dine,Kafe ·  · Jl. Malioboro No.42,0.0,0,Rp 50–75 rb,-7.793899,110.3658441,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 23.30,cafe  malioboro,2025-08-28T11:23:19.896943,extract_from_url,0.9
LAJU MALIOBORO,Kedai Kopi · Jl. Ps. Kembang No.95,0.0,0,Rp 1–25.000,-7.7897405,110.3645237,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 21.00,cafe  malioboro,2025-08-28T11:23:19.935965,extract_from_url,0.9
Selonjor Coffee Lor Malioboro,"Kafe · Jl. P. Mangkubumi No.51, RW.001",0.0,0,Rp 1–50.000,-7.7863923,110.3664651,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  malioboro,2025-08-28T11:23:20.021781,extract_from_url,0.9
Nyore Coffee & Space,Kafe · Jl. Margo Utomo No.79,0.0,0,Rp 25–50 rb,-7.7852247,110.3665953,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe best malioboro,2025-08-28T11:23:41.742040,extract_from_url,0.9
Blanco Coffee and Books,Kedai Kopi ·  · Jl. Kranggan No.30,0.0,0,Rp 25–50 rb,-7.7813975,110.3648099,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe best malioboro,2025-08-28T11:23:41.841532,extract_from_url,0.9
BelajaR Ngopi Yogyakarta,"Kedai Kopi · Jl. Hayam Wuruk No.14, RW.001",0.0,0,,-7.795797,110.3727691,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 22.00,cafe buat nugas malioboro,2025-08-28T11:24:05.168423,extract_from_url,0.9
