name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,opening_hours_weekly,maps_link,search_query,scraped_at,coordinate_source,precision_score
Lancar jaya,"7C24+43R, Jl. Raya Krangkungan, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",0.0,0,,-7.7496296,110.4051464,Sleman,Sleman,Sleman,Modern,,,,{},https://www.google.com/maps/place/Lancar+jaya/data=!4m7!3m6!1s0x2e7a5900744fa7bd:0x794cfd22ea05224d!8m2!3d-7.7496296!4d110.4051464!16s%2Fg%2F11vs7jwy_0!19sChIJvadPdABZei4RTSIF6iL9THk?authuser=0&hl=en&rclk=1,Bar  dekat alun alun kidul,2025-08-28T16:51:26.672273,extract_from_url,0.9
TILLDROP BAR & RESTO,Bar · Jl. Prawirotaman No.11,4.7,453,,-7.8190207,110.370028,Yogyakarta,Malioboro,Yogyakarta,Cafe & Restaurant,"
(0274) 4299940",https://instagram.com/tilldrop_prawirotamanos?igshid=YmMyMTA2M2Y=,9.00 am–1.00 am,"{'Thursday': '9.00\u202fam–1.00\u202fam', 'Friday': '9.00\u202fam–1.00\u202fam', 'Saturday': '9.00\u202fam–1.00\u202fam', 'Sunday': '9.00\u202fam–1.00\u202fam', 'Monday': '9.00\u202fam–1.00\u202fam', 'Tuesday': '9.00\u202fam–1.00\u202fam', 'Wednesday': '9.00\u202fam–1.00\u202fam'}",https://www.google.com/maps/place/TILLDROP+BAR+%26+RESTO/data=!4m7!3m6!1s0x2e7a5791acc83227:0xd718282a6e4b447e!8m2!3d-7.8190207!4d110.370028!16s%2Fg%2F11s1vwnx8n!19sChIJJzLIrJFXei4RfkRLbiooGNc?authuser=0&hl=en&rclk=1,Bar  dekat alun alun kidul,2025-08-28T16:51:26.728447,extract_from_url,0.9
Soirée Lounge & Grill,"Steak · Yogyakarta Marriott Hotel, Jl. Ring Road Utara 2nd Floor",4.8,224,Rp 250.000+ per person,-7.7618017,110.3981728,Mlati,Sinduadi,Sleman,Modern,"
(0274) 6000888",https://www.marriott.com/en-us/dining/restaurant-bar/jogmc-yogyakarta-marriott-hotel/6044297-soir-e-lounge-grill.mi,,{},https://www.google.com/maps/place/Soir%C3%A9e+Lounge+%26+Grill/data=!4m7!3m6!1s0x2e7a59a316ba1183:0xd584a0d88561d888!8m2!3d-7.7618017!4d110.3981728!16s%2Fg%2F11f4l990zc!19sChIJgxG6FqNZei4RiNhhhdighNU?authuser=0&hl=en&rclk=1,Bar  dekat alun alun kidul,2025-08-28T16:51:26.912250,extract_from_url,0.9
Chadis Bar Yogyakarta,Bar · Jl. Jend. Sudirman No.69,4.6,103,Rp 150–175K per person,-7.7827432,110.3744013,Yogyakarta,Malioboro,Yogyakarta,Modern,"
(0274) 2921888",,10.00 am–11.00 pm,"{'Thursday': '10.00\u202fam–11.00\u202fpm', 'Friday': '10.00\u202fam–11.00\u202fpm', 'Saturday': '10.00\u202fam–11.00\u202fpm', 'Sunday': '10.00\u202fam–11.00\u202fpm', 'Monday': '10.00\u202fam–11.00\u202fpm', 'Tuesday': '10.00\u202fam–11.00\u202fpm', 'Wednesday': '10.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Chadis+Bar+Yogyakarta/data=!4m7!3m6!1s0x2e7a58324aaa76cd:0xd6031312e5fffe61!8m2!3d-7.7827432!4d110.3744013!16s%2Fg%2F11cs01hldf!19sChIJzXaqSjJYei4RYf7_5RITA9Y?authuser=0&hl=en&rclk=1,Bar  dekat alun alun kidul,2025-08-28T16:51:26.959205,extract_from_url,0.9
Stylo Cafe & Resto (Jogja),Pub ·  · Jl. Suryodiningratan No.33,4.9,298,Rp 25–50K per person,-7.8180003,110.3596428,Suryodiningratan,Jalan Suryodiningratan,Kota Yogyakarta,Cafe & Restaurant,"
0851-1750-5505",http://www.stylocoffee.com/,11.30 am–11.00 pm,"{'Thursday': '11.30\u202fam–11.00\u202fpm', 'Friday': '11.30\u202fam–11.00\u202fpm', 'Saturday': '11.30\u202fam–11.00\u202fpm', 'Sunday': '11.30\u202fam–11.00\u202fpm', 'Monday': '11.30\u202fam–11.00\u202fpm', 'Tuesday': '11.30\u202fam–11.00\u202fpm', 'Wednesday': '11.30\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Stylo+Cafe+%26+Resto+%28Jogja%29/data=!4m7!3m6!1s0x2e7a57b2f38c18ab:0x6a745ac5088f35ef!8m2!3d-7.8180003!4d110.3596428!16s%2Fg%2F11y8hlwmn7!19sChIJqxiM87JXei4R7zWPCMVadGo?authuser=0&hl=en&rclk=1,Bar  dekat alun alun kidul,2025-08-28T16:51:26.724405,extract_from_url,0.9
Angkringan Kriwil,Bar · No Jl. Alun-Alun Utara No.1,4.6,16,$,-7.8052874,110.3630437,Yogyakarta,Malioboro,Yogyakarta,Traditional,"
0838-2952-5993",,5.30 pm–3.00 am,"{'Thursday': '5.30\u202fpm–3.00\u202fam', 'Friday': '5.30\u202fpm–3.00\u202fam', 'Saturday': '5.30\u202fpm–3.00\u202fam', 'Sunday': '5.30\u202fpm–3.00\u202fam', 'Monday': '5.30\u202fpm–3.00\u202fam', 'Tuesday': '5.30\u202fpm–3.00\u202fam', 'Wednesday': '5.30\u202fpm–3.00\u202fam'}",https://www.google.com/maps/place/Angkringan+Kriwil/data=!4m7!3m6!1s0x2e7a578e30f65603:0x32b13124e30e0325!8m2!3d-7.8052874!4d110.3630437!16s%2Fg%2F11clzr31km!19sChIJA1b2MI5Xei4RJQMO4yQxsTI?authuser=0&hl=en&rclk=1,Bar  dekat alun alun utara,2025-08-28T16:52:18.253349,extract_from_url,0.9
basori(ꦧꦱꦺꦴꦫꦶ),"Bar · 59R6+JFX, Jl. Magangan Kulon",4.6,18,,-7.8083882,110.3612401,Yogyakarta,Malioboro,Yogyakarta,Modern,"
0899-5081-999",,Open 24 hours,"{'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours'}",https://www.google.com/maps/place/basori%28%EA%A6%A7%EA%A6%B1%EA%A6%BA%EA%A6%B4%EA%A6%AB%EA%A6%B6%29/data=!4m7!3m6!1s0x2e7a5728d89d4dc1:0x497ea3cddd0fda9a!8m2!3d-7.8083882!4d110.3612401!16s%2Fg%2F11ghfd7r67!19sChIJwU2d2ChXei4RmtoP3c2jfkk?authuser=0&hl=en&rclk=1,Bar  dekat alun alun utara,2025-08-28T16:52:18.273039,extract_from_url,0.9
Pub Med Yogyakarta,"Bar · Meliá Purosani Yogyakarta, Jl. Mayor Suryotomo No.31",4.2,26,,-7.7970305,110.3687073,Jetis,Bumijo,Yogyakarta,Modern,"
(0274) 589521",,10.00 am–11.00 pm,"{'Thursday': '10.00\u202fam–11.00\u202fpm', 'Friday': '10.00\u202fam–11.00\u202fpm', 'Saturday': '10.00\u202fam–12.00\u202fam', 'Sunday': '10.00\u202fam–11.00\u202fpm', 'Monday': '10.00\u202fam–11.00\u202fpm', 'Tuesday': '10.00\u202fam–11.00\u202fpm', 'Wednesday': '10.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Pub+Med+Yogyakarta/data=!4m7!3m6!1s0x2e7a578653c64307:0xb7c1372cf5e55b5d!8m2!3d-7.7970305!4d110.3687073!16s%2Fg%2F1pzv8t4sc!19sChIJB0PGU4ZXei4RXVvl9Sw3wbc?authuser=0&hl=en&rclk=1,Bar  dekat alun alun utara,2025-08-28T16:52:18.317799,extract_from_url,0.9
10/10 Pool Bar Rooftop,"Bar ·  · 10th floor of Novotel Suites, Jl. Malioboro No.52 58",4.9,100,,-7.7931709,110.3665629,Jetis,Bumijo,Yogyakarta,Modern,"
(0274) 5018888",https://1010poolbar.com/,8.00 am–12.00 am,"{'Thursday': '8.00\u202fam–12.00\u202fam', 'Friday': '8.00\u202fam–12.00\u202fam', 'Saturday': '8.00\u202fam–12.00\u202fam', 'Sunday': '8.00\u202fam–12.00\u202fam', 'Monday': '8.00\u202fam–12.00\u202fam', 'Tuesday': '8.00\u202fam–12.00\u202fam', 'Wednesday': '8.00\u202fam–12.00\u202fam'}",https://www.google.com/maps/place/10%2F10+Pool+Bar+Rooftop/data=!4m7!3m6!1s0x2e7a595128cf93f9:0x20fd17008bb85edd!8m2!3d-7.7931709!4d110.3665629!16s%2Fg%2F11q3rc9fk3!19sChIJ-ZPPKFFZei4R3V64iwAX_SA?authuser=0&hl=en&rclk=1,Bar  dekat alun alun utara,2025-08-28T16:52:18.471384,extract_from_url,0.9
BLACKDOOR Lounge & KTV,Lounge ·  · Jl. Pajeksan No.55,4.5,194,Rp 250.000+ per person,-7.7960882,110.3625652,Jetis,Bumijo,Yogyakarta,Modern,"
0882-2785-6304",,6.00 pm–3.00 am,"{'Thursday': '6.00\u202fpm–3.00\u202fam', 'Friday': '6.00\u202fpm–3.00\u202fam', 'Saturday': '6.00\u202fpm–3.00\u202fam', 'Sunday': '6.00\u202fpm–3.00\u202fam', 'Monday': '6.00\u202fpm–3.00\u202fam', 'Tuesday': '6.00\u202fpm–3.00\u202fam', 'Wednesday': '6.00\u202fpm–3.00\u202fam'}",https://www.google.com/maps/place/BLACKDOOR+Lounge+%26+KTV/data=!4m7!3m6!1s0x2e7a5993032c838b:0xf690bedfda29d738!8m2!3d-7.7960882!4d110.3625652!16s%2Fg%2F11j3kx14zh!19sChIJi4MsA5NZei4RONcp2t--kPY?authuser=0&hl=en&rclk=1,Bar  dekat alun alun utara,2025-08-28T16:52:18.556594,extract_from_url,0.9
Punika Deli,"Coffee shop ·  · Royal Ambarrukmo Lobby, Jl. Laksda Adisucipto No.81",4.7,432,$$,-7.7824588,110.402625,Catur Tunggal,Ambarukmo,Sleman,Coffee Shop,"
(0274) 488488",http://www.royalambarrukmo.com/,8.00 am–11.00 pm,"{'Thursday': '8.00\u202fam–11.00\u202fpm', 'Friday': '8.00\u202fam–11.00\u202fpm', 'Saturday': '8.00\u202fam–11.00\u202fpm', 'Sunday': '8.00\u202fam–11.00\u202fpm', 'Monday': '8.00\u202fam–11.00\u202fpm', 'Tuesday': '8.00\u202fam–11.00\u202fpm', 'Wednesday': '8.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Punika+Deli/data=!4m7!3m6!1s0x2e7a59e8195a3f25:0xfa15f1ce87bc78a6!8m2!3d-7.7824588!4d110.402625!16s%2Fg%2F11c2qxrtz4!19sChIJJT9aGehZei4Rpni8h87xFfo?authuser=0&hl=en&rclk=1,Bar  dekat ambarukmo plaza,2025-08-28T16:53:04.253337,extract_from_url,0.9
Boost juice Ambarukmo,"6C92+3GW, Ambarukmo, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta",5.0,349,Rp 50–75K per person,-7.7822514,110.4013247,Catur Tunggal,Ambarukmo,Sleman,Modern,"
0878-7265-9454",https://www.intagram.com/boostjuice_id,10.00 am–10.00 pm,"{'Thursday': '10.00\u202fam–10.00\u202fpm', 'Friday': '10.00\u202fam–10.00\u202fpm', 'Saturday': '10.00\u202fam–10.00\u202fpm', 'Sunday': '10.00\u202fam–10.00\u202fpm', 'Monday': '10.00\u202fam–10.00\u202fpm', 'Tuesday': '10.00\u202fam–10.00\u202fpm', 'Wednesday': '10.00\u202fam–10.00\u202fpm'}",https://www.google.com/maps/place/Boost+juice+Ambarukmo/data=!4m7!3m6!1s0x2e7a59077fa6c805:0x5cd7509c74dc65bf!8m2!3d-7.7822514!4d110.4013247!16s%2Fg%2F11kq_c2720!19sChIJBcimfwdZei4Rv2XcdJxQ11w?authuser=0&hl=en&rclk=1,Bar  dekat ambarukmo plaza,2025-08-28T16:53:04.254509,extract_from_url,0.9
Arcadaz Lounge and Bar,Lounge · Jl. Laksda Adisucipto No.82,4.7,186,,-7.7835759,110.4005488,Catur Tunggal,Ambarukmo,Sleman,Modern,"
(0274) 2800088",http://grammhotel.com/,4.00 pm–12.00 am,"{'Thursday': '4.00\u202fpm–12.00\u202fam', 'Friday': '4.00\u202fpm–3.00\u202fam', 'Saturday': '4.00\u202fpm–3.00\u202fam', 'Sunday': '5.00\u202fpm–12.00\u202fam', 'Monday': '4.00\u202fpm–12.00\u202fam', 'Tuesday': '4.00\u202fpm–12.00\u202fam', 'Wednesday': '4.00\u202fpm–12.00\u202fam'}",https://www.google.com/maps/place/Arcadaz+Lounge+and+Bar/data=!4m7!3m6!1s0x2e7a59c2c92000b3:0xead666e7576aaf70!8m2!3d-7.7835759!4d110.4005488!16s%2Fg%2F11f40hg8fw!19sChIJswAgycJZei4RcK9qV-dm1uo?authuser=0&hl=en&rclk=1,Bar  dekat ambarukmo plaza,2025-08-28T16:53:04.332979,extract_from_url,0.9
Pretty Odd Coffee Bar,Cafe · Jl. Nogopuro No.35,4.8,206,Rp 25–50K,-7.7836046,110.4035312,Catur Tunggal,Gowok,Sleman,Coffee Shop,,,,{},https://www.google.com/maps/place/Pretty+Odd+Coffee+Bar/data=!4m7!3m6!1s0x2e7a59454ef59547:0x962c5108c2486f12!8m2!3d-7.7836046!4d110.4035312!16s%2Fg%2F11j3rxdj9t!19sChIJR5X1TkVZei4REm9IwghRLJY?authuser=0&hl=en&rclk=1,Bar  dekat ambarukmo plaza,2025-08-28T16:53:05.274467,extract_from_url,0.9
Mya,Dart bar · Jl. Laksda Adisucipto No.171,5.0,1,,-7.7830871,110.3987326,Catur Tunggal,Ambarukmo,Sleman,Modern,,,,{},https://www.google.com/maps/place/Mya/data=!4m7!3m6!1s0x2e7a59001ca83f65:0x860409904fcb0cd2!8m2!3d-7.7830871!4d110.3987326!16s%2Fg%2F11vz1jv15y!19sChIJZT-oHABZei4R0gzLT5AJBIY?authuser=0&hl=en&rclk=1,Bar  dekat ambarukmo plaza,2025-08-28T16:53:06.040665,extract_from_url,0.9
